0:0:0:0:0:0:0:1 - - [15/Feb/2019:22:51:47 +0530] "GET /TwadWeb/checkApplicationStatus.do?appId= HTTP/1.1" 200 9392
0:0:0:0:0:0:0:1 - - [15/Feb/2019:22:51:47 +0530] "GET /TwadWeb/assets/plugins/validationengine/css/validationEngine.jquery.css HTTP/1.1" 404 2620
0:0:0:0:0:0:0:1 - - [15/Feb/2019:22:51:47 +0530] "GET /TwadWeb/assets/css/theme.css HTTP/1.1" 404 2620
0:0:0:0:0:0:0:1 - - [15/Feb/2019:22:51:47 +0530] "GET /TwadWeb/assets/plugins/Font-Awesome/css/font-awesome.css HTTP/1.1" 404 2620
0:0:0:0:0:0:0:1 - - [15/Feb/2019:22:51:47 +0530] "GET /TwadWeb/assets/css/MoneAdmin.css HTTP/1.1" 404 2620
0:0:0:0:0:0:0:1 - - [15/Feb/2019:22:51:51 +0530] "GET /TwadWeb/index.do HTTP/1.1" 200 13174
0:0:0:0:0:0:0:1 - - [15/Feb/2019:22:51:55 +0530] "GET /TwadWeb/checkApplicationStatus.do?appId= HTTP/1.1" 200 9392
0:0:0:0:0:0:0:1 - - [15/Feb/2019:22:51:55 +0530] "GET /TwadWeb/assets/css/theme.css HTTP/1.1" 404 2620
0:0:0:0:0:0:0:1 - - [15/Feb/2019:22:51:55 +0530] "GET /TwadWeb/assets/css/MoneAdmin.css HTTP/1.1" 404 2620
0:0:0:0:0:0:0:1 - - [15/Feb/2019:22:51:55 +0530] "GET /TwadWeb/assets/plugins/validationengine/css/validationEngine.jquery.css HTTP/1.1" 404 2620
0:0:0:0:0:0:0:1 - - [15/Feb/2019:22:51:55 +0530] "GET /TwadWeb/assets/plugins/Font-Awesome/css/font-awesome.css HTTP/1.1" 404 2620
0:0:0:0:0:0:0:1 - - [15/Feb/2019:22:52:41 +0530] "GET /TwadWeb/checkApplicationStatus.do?appId= HTTP/1.1" 200 9397
0:0:0:0:0:0:0:1 - - [15/Feb/2019:22:52:42 +0530] "GET /TwadWeb/assets/css/theme.css HTTP/1.1" 404 2620
0:0:0:0:0:0:0:1 - - [15/Feb/2019:22:52:42 +0530] "GET /TwadWeb/assets/plugins/Font-Awesome/css/font-awesome.css HTTP/1.1" 404 2620
